type;id;name;gender
;Q2121848;A 1;-
;Q2121848;A 2;-
;Q2121848;A 3;-
;Q2121848;A 4;-
;Q2121848;A 5;-
;Q1141780;Abendröte;-
;-;Aberlering;+
;Q91;Abraham-Lincoln-Allee;m
;Q373824;Acherner Straße;-
;Q319670;Achkarrer Weg;-
;Q3588;Achtundvierziger Platz;-
;Q188869;Ackerstraße;-
;Q168542;Adalbert-Stifter-Straße;m
;Q355435;Adelsheimer Straße;-
;;Adlerstraße;
;Q89439;Adolf-Damaschke-Ring;m
;Q42292;Ahornallee;-
;Q42292;Ahornhof;-
;Q42292;Ahornweg;-
;Q16006205;Akademiestraße;-
;Q5861969;Akazienstraße;-
;Q1257886;Alberichstraße;m
;Q46141478;Albert-Fritz-Weg;m
;Q132990;Alemannenstraße;+
;Q61305;Alfred-Delp-Straße;m
;Q82765;Allensteiner Weg;-
;;Almenplatz;-
;;Almenstraße;-
;Q161048;Alois-Senefelder-Straße;m
;;Alphornstraße;-
;Q82781;Alpirsbacher Weg;-
;Q546344;Alpseeweg;-
;Q165383;Alsenweg;-
;Q878458;Altdammer Straße;-
;Q1794;Alte Frankfurter Straße;-
;Q2119;Alte Mannheimer Poststraße;-
;;Alte Seilerei;-
;Q7050;Alte Weinheimer Straße;-
;Q15976;Altenburger Weg;-
;Q1794;Alter Frankfurter Weg;-
;;Alter Friedhofweg;-
;Q2119;Alter Mannheimer Weg;-
;;Alter Meßplatz;-
;;Alter Postweg;-
;;Alter Rangierbahnhof;-
;Q440724;Altheimer Straße;-
;"Q62204;Q100540";Altigweg;+
;Q208119;Altkircher Straße;-
;Q317060;Altmühlstraße;-
;-;Altrheinstraße;-
;Q22461;Altriper Straße;-
;;Am Aubuckel;-
;Q18335820;Am Bogen;-
;;Am Breiten Stein;-
;;Am Brunnengarten;
;Q40224;Am Carl-Benz-Bad;m
;;Am Dünenrand;
;;Am Durchlaß;
;;Am Exerzierplatz;-
;;Am Friedensplatz;
;-;Am Friedhof;-
;;Am Geheugraben;-
;;Am Grünen Hag;
;Q1510380;Am Hain;-
;;Am Herrschaftswald;-
;Q1716367;Am Jüdischen Friedhof;-
;;Am Kiefernbühl;-
;;Am Klumbengarten;-
;;Am Kuhbuckel;
;;Am Markt;
;;Am Meßplatz;-
;;Am Oberen Luisenpark;
;Q2135068;Am Rebstock;-
;;Am Rheinauer See;
;;Am Römerbrunnen;
;Q104602114;Am Salzkai;-
;;Am Sandhang;
;;Am Schäferstock;
;;Am Schelmenbuckel;-
;;Am Schulgarten;
;;Am Schwalbennest;
;;Am Sonnengarten;
;;Am Sonnigen Hang;
;;Am Steingarten;
;;Am Stich;-
;;Am Stock;-
;;Am Ullrichsberg;
;Q1515577;Am Unkenteich;-
;;Am Victoria Turm;
;;Am Waldrand;
;Q19963296;Am Wallstadter Bahnhof;-
;;Am Weidenbergel;-
;Q282;Am Weingarten;-
;;Am Wildpark;-
;Q108680;Amalie-Sieveking-Weg;w
;Q446542;Amerikanerstraße;-
;Q265336;Ammerseestraße;-
;Q474051;Amorbacher Straße;-
;Q25234;Amselstraße;-
;Q25234;Amselstraße;-
;;An den Kasernen;-
;Q125432;An der Arena;-
;Q52153386;An der Kammerschleuse;-
;Q72943011;An der Radrennbahn;-
;Q5673;Andersenstraße;m
;Q11697;Andreas-Hofer-Straße;m
;Q11817;Andrew-Jackson-Straße;m
;Q158286;Anemonenweg;-
;Q1194492;Angelstraße;-
;Q488513;Anklamer Weg;-
;Q47079479;Anna Reiß Weg;w
;-;Anna-Maria-von-Schrader-Weg;w
;Q116458453;Anna-Sammet-Straße;w
;Q96053705;Anton-Kurz-Weg;m
;Q12892;Antwerpener Straße;-
;Q154897;Apenrader Weg;-
;Q18674606;Apfelblüte;-
;Q490689;Apoldaer Weg;-
;Q17592548;Archivplatz;-
;Q181947;Armbrustweg;-
;Q57351;Arndtstraße;m
;Q21057245;Arno-Anke-Weg;m
;-;Asamplatz;+
;Q486991;Ascherslebener Weg;-
;Q25158438;Assenheimer Straße;-
;Q317535;Aßmannshäuser Straße;-
;Q517130;Asterstraße;-
;Q698516;Atterseestraße;-
;Q25307;Atzelbuckelstraße;-
;;Atzelhofstraße;-
;Q129059;Auerhahnstraße;-
;;Auf dem Kegel;
;;Auf dem Sand;
;Q155721;Auf den Brockenweg;-
;;Auf den Ried;-
;;Auf der Blumenau;-
;;Auf der Vogelstang;-
;;Aufeldstraße;-
;;Aufeldweg I;-
;;Aufeldweg II;-
;;Aufeldweg III;-
;;Aufeldweg IV;-
;;Aufeldweg V;-
;;Aufstieg;
;;Augartenplatz;-
;;Augartenstraße;-
;Q268734;Auggener Straße;-
;Q76520;August-Bebel-Park;m
;Q76520;August-Bebel-Straße;m
;Q65271;August-Borsig-Straße;m
;Q762529;August-Kuhn-Straße;m
;Q57541;Augustaanlage;w
;;Ausgasse;-
;;Außeneck;-
;;Äußere Bogenstraße;
;;Äußere Querstraße;
;;Äußere Wingertstraße;-
;Q2121848;B 1;
;Q2121848;B 2;
;Q2121848;B 3;
;Q2121848;B 4;
;Q2121848;B 5;
;Q2121848;B 6;
;Q2121848;B 7;
;Q1339;Bachstraße;m
;;Bäckerweg;-
;Q7047;Bad Kreuznacher Straße;-
;Q822734;Badener Platz;-
;Q822734;Badener Straße;-
;Q25430;Badenweilerstraße;-
;Q778;Bahamastraße;-
;Q518801;Bahlinger Straße;-
;;Bahnhofstraße;-
;Q81241;Baiersbronner Winkel;-
;Q131658;Baldurstraße;m
;Q314302;Ballonstraße;
;Q578513;Baloghweg;m
;Q170143;Banater Straße;-
;;Bärlochweg;-
;Q43982;Bartholomäusstraße;m
;Q810495;Bassermannstraße;+
;;Baumgang;-
;Q148939;Baumhaselweg;-
;;Baumstraße;
;Q14835;Bautzener Weg;-
;Q103911845;Bechererplatz;m
;Q255;Beethovenstraße;m
;Q96775;Beilstraße;m
;;Beim Bauerspfad;-
;;Beim Glockacker;-
;;Beim Hochwald;
;;Beim Johannkirchhof;
;;Beim Teufelsberg;
;Q515385;Belchenstraße;-
;Q171545;Belfortgäßchen;-
;Q171545;Belfortstraße;-
;Q25356;Bellenstraße;-
;Q61630;Bellinger Weg;-
;Q34969;Benjamin-Franklin-Platz;m
;Q14872;Bensheimer Straße;-
;Q55848397;Bensingerstraße;m
;Q76614;Bergiusstraße;m
;Q64;Berliner Straße;-
;Q537241;Bernauer Weg;-
;Q14938;Bernburger Weg;-
;Q75845;Besselstraße;m
;Q876687;Bibienastraße;m
;Q375875;Bibliser Straße;-
;Q649700;Bickensohler Weg;-
;Q92016;Billingstraße;m
;-;Binnenhafenstraße;-
;Q158480;Binsenweg;-
;Q25243;Birkenallee;-
;Q512538;Birkenauer Straße;-
;Q25243;Birkenschneise;-
;Q434;Birnbaumstraße;-
;Q13142499;Bischoffinger Weg;-
;Q22431;Bischweilerring;-
;Q8442;Bismarckplatz;m
;Q8442;Bismarckstraße;m
;Q836932;Bitterfelder Weg;-
;-;Björn-Kommer-Weg;m
;Q525960;Blankenburger Weg;-
;Q153522;Blücherstraße;m
;;Blumenauer Bruch;-
;-;Blumenauer Weg;-
;;Blumenstraße;
;;Blütenweg;
;Q2103;Bochumer Straße;-
;Q123071;Böcklinplatz;m
;Q123071;Böcklinstraße;m
;Q1695534;Böckstraße;m
;Q87306;Bodelschwinghweg;m
;Q890155;Boehringerstraße;-
;Q65183;Bohnenbergerstraße;m
;-;Bonadiesstraße;-
;Q178703;Bonndorfer Straße;-
;;Bösfeld Weg I;-
;;Bösfeld Weg II;-
;;Bösfeld Weg III;-
;;Bösfeld Weg IV;-
;;Bösfeld Weg V;-
;Q518889;Bötzinger Weg;-
;Q664420;Boveristraße;-
;Q61851;Boxberger Straße;-
;;Boxheimer-Straße;-
;Q7294;Brahmsstraße;m
;Q1208;Brandenburger Straße;-
;;Branntweinweg;-
;Q2773;Braunschweiger Allee;-
;Q869095;Braustraße;-
;Q489911;Breisacher Straße;-
;;Breite Weg;-
;Q213960;Brentanostraße;m
;Q495428;Brettener Straße;-
;Q155721;Brockenweg;-
;Q13180;Brombeerweg;-
;Q41252;Bromberger Baumgang;-
;Q7059;Bruchsaler Straße;-
;Q1539728;Brückenstraße;-
;;Brückeswasen;-
;Q81752;Brucknerstraße;m
;"Q2793;Q6714;Q6701";Brüder Grimm-Straße;+
;Q22962;Brühler Ring;-
;"Q850506;Q50813770;Q50813806";Brunhildestraße;w
;;Brunnenpfad;-
;;Brunnenstraße;-
;;Brunnenweg;-
;Q95676326;Bruno-Rüffer-Straße;m
;Q179252;Buchener Straße;-
;-;Buckelallee;-
;Q505534;Bühler Straße;-
;Q71031;Bunsenstraße;m
;-;Bürgermeister-Fuchs-Straße;+
;-;Burgstraße;-
;-;Bürkleplatz;m
;Q524974;Bürstadter Straße;-
;Q235152;Bussardstraße;-
;Q2121848;C 1
;Q2121848;C 2
;Q2121848;C 3
;Q2121848;C 4
;Q2121848;C 6
;Q2121848;C 7
;Q2121848;C 8
;-;Cahn-Ganier-Ufer;m
;Q11815;Calvinstraße;m
;Q72620;Cannabichstraße;m
;Q1040192;Carl-Reiß-Weg;m
;Q40224;Carl-Benz-Straße;m
;Q57430;Carl-Goerdeler-Straße;m
;Q1039758;Carl-Metz-Straße;m
;Q62594;Carl-Philipp-Platz;m
;Q1040192;Carl-Reiß-Platz;m
;Q94764011;Carl-Reuther-Straße;m
;Q44961;Carl-Theodor-Platz;m
;Q76820;Carl-Zuckmayer-Straße;m
;Q67511;Carlo Schmid Brücke;m
;Q69707;Caroline-Jagemann-Weg;w
;Q47520256;Carolus-Vocke-Ring;m
;;Casterfeld Weg 1;-
;;Casterfeld Weg 2;-
;;Casterfeld Weg 3;-
;;Casterfeldstraße;-
;-;Cecil-Taylor-Ring;m
;-;Celluloidstraße;-
;Q154782;Chamissostraße;m
;Q57221;Charlottenplatz;w
;Q92382;Cheliusstraße;m
;Q2795;Chemnitzer Straße;-
;Q268307;Cheruskerring;+
;Q4138;Chiemseestraße;-
;Q927033;Christian-Friedrich-Schwan-Straße;m
;Q44652;Christian-Morgenstern-Straße;m
;Q107526985;Clara-Reimann-Straße;w
;Q21209;Claus-von-Stauffenberg-Straße;m
;Q504590;Clausthaler Ring;-
;Q1605768;Clignetplatz;m
;Q16661298;Coblitzallee;m
;Q502749;Cochemer Straße;-
;Q560731;Coehornstraße;m
;Q318216;Collinistraße;m
;Q7322;Columbusstraße;m
;Q58833;Corneliusstraße;m
;Q3214;Cottbuser Weg;-
;Q2121848;D 1;
;Q2121848;D 2;
;Q2121848;D 3;
;Q2121848;D 4;
;Q2121848;D 5;
;Q2121848;D 6;
;Q2121848;D 7;
;Q10328397;Dachspfad;-
;Q130918;Dahlienplatz;-
;Q130918;Dahlienweg;-
;Q214611;Dalbergstraße;m
;-;Dammstraße;-
;Q96026317;Daniel-Seizinger-Weg;m
;Q35;Dänischer Tisch;-
;Q567207;Dannstadter Straße;-
;Q1792;Danziger Baumgang;-
;Q2973;Darmstadter Straße;-
;Q1510455;Dehof-Arkaden;m
;-;Dehoustplatz;m
;Q22951;Deidesheimer Straße;-
;Q12052;Delitzscher Straße;-
;Q584;Der Hohe Weg zum Rhein;-
;-;Der Weidenweg;-
;Q487070;Dessauer Weg;-
;-;Deutsche Gasse;-
;Q2298145;Diakonissenstraße;+
;Q525493;Dieburger Straße;-
;Q882867;Diedesfelder Straße;-
;Q77434;Diesterwegstraße;m
;Q76326;Dietrich-Bonhoeffer-Straße;m
;Q2086664;Diffenéstraße;m
;Q158408;Dillinger Straße;-
;Q474697;Dirschauer Weg;-
;-;Distelsand;-
;Q25345384;Dohlengasse;-
;Q25382;Dompfaffweg;-
;Q1724897;Domstiftstraße;-
;Q42952;Donarstraße;m
;Q1653;Donaustraße;-
;Q22547;Donnersbergstraße;-
;Q1242068;Dononstraße;-
;;Dorfgärtenstraße;-
;;Dorfstraße;-
;-;Dornheimer Ring;-
;Q1295;Dortmunder Straße;-
;;Dossenwaldweg;-
;Q1254237;Drachenfelsstraße;-
;Q194199;Dragonerweg;-
;Q77122;Draisstraße;m
;Q761138;Dreesbachstraße;m
;;Dreimärker Weg;-
;;Dreimärkerschneise;-
;;Dreisteinweg;-
;Q1731;Dresdener Straße;-
;Q26050;Drosselstraße;-
;Q65340;Dudenstraße;m
;Q2100;Duisburger Straße;-
;;Dünenhof;-
;;Dünenweg;-
;Q834580;Düppelweg;-
;Q5580;Dürerstraße;m
;Q22901;Dürkheimer Straße;-
;Q639876;Durlacher Straße;-
;Q1718;Düsseldorfer Straße;-
;Q1269111;Dynamostraße;-
;Q2121848;E 1;
;Q2121848;E 2;
;Q2121848;E 3;
;Q2121848;E 4;
;Q2121848;E 5;
;Q2121848;E 6;
;Q2121848;E 7;
;Q22873;Eberbacher Platz;-
;Q22873;Eberbacher Straße;-
;Q884300;Ebernburgstraße;-
;Q9306;Eberswalder Weg;-
;Q61666;Eckenerstraße;m
;Q537985;Edenkobener Straße;-
;Q81099;Edinger Riedweg;-
;Q81099;Edinger Riedweg;-
;Q8743;Edisonstraße;m
;-;Edwin-Reis-Straße;m
;Q874984;Egellstraße;m
;Q259699;Eibseeweg;-
;;Eichbaumstraße;-
;Q1301359;Eichelbergstraße;-
;Q1011559;Eichelsheimer Straße;-
;Q77204;Eichendorffstraße;m
;Q12004;Eichenhof;-
;Q12004;Eichenweg;-
;Q281124;Eichhörnchenweg;-
;Q606787;Eichstetter Straße;-
;Q152356;Eifelstraße;-
;;Eigene Scholle;-
;Q12055;Eilenburger Weg;-
;Q937;Einsteinstraße;m
;;Eintrachtstraße;-
;Q7070;Eisenacher Weg;-
;;Eisenbahnstraße;-
;Q761166;Eisenlohrplatz;m
;Q761166;Eisenlohrstraße;m
;Q678565;Eisenstraße;-
;Q484870;Eislebener Weg;-
;Q104712;Elbinger Weg;-
;Q174396;Elfenstraße;+
;Q78060;Elisabeth-Altmann-Gottheiner-Straße;w
;Q93711;Elisabeth-Bergner-Weg;w
;Q107664701;Elisabeth-Blaustein-Straße;w
;Q70670;Elisabeth-von-Thadden-Straße;w
;Q57221;Elisabethstraße;w
;Q23017;Ellerstadter Straße;-
;Q214278;Elritzenweg;-
;Q469673;Elsa-Brändström-Straße;w
;Q25307;Elstergasse;-
;Q55842857;Emil-Heckel-Straße;m
;Q462615;Emy-Roeder-Straße;w
;Q168511;Endinger Straße;-
;Q27725;Entennest;-
;Q27725;Entenstrich;-
;Q144682;Enzianstraße;-
;Q571748;Erbacher Straße;-
;Q1729;Erfurter Weg;-
;Q94838095;Erhard-Bruche-Weg;m
;Q25239;Erlenstraße;-
;Q156890;Ernst-Barlach-Allee;m
;-;Ernst-Throm-Straße;m
;Q51301797;Ernsttaler Straße;-
;Q22517;Ersteiner Straße;-
;-;Erwin-Reich-Weg;m
;Q57156;Erwin-von-Witzleben-Straße;m
;Q57755;Erzbergerstraße;m
;Q128887;Eschenhof;-
;Q1367094;Eschkopfstraße;-
;Q146110;Espenstraße;-
;Q2066;Essener Straße;-
;Q15630694;Esther-Charlotte-Brandes-Weg;w
;Q14893;Ettlinger Straße;-
;Q62666;Eugen-Bolz-Straße;m
;Q70962;Eugen-Richter-Straße;m
;Q95975952;Eugen-Sigrist-Weg;m
;Q61197826;Eugenie-Kaufmann-Straße;w
;Q25222;Eulenweg;-
;;Europaplatz;-
;Q1379210;Eva-Hermann-Straße;w
;Q2121848;F 1;
;Q2121848;F 2;
;Q2121848;F 3;
;Q2121848;F 4;
;Q2121848;F 5;
;Q2121848;F 6;
;Q2121848;F 7;
;;Fabrikstationstraße;
;Q1391831;Fadenweg;-
;-;Fahrgasse;-
;;Fahrlachstraße;-
;Q1011686;Falkensteinweg;-
;Q43489;Falkenstraße;-
;Q2578783;Fardelystraße;m
;Q80005;Farnkrautweg;-
;Q25432;Fasanenstraße;-
;Q161;Faserweg;-
;Q316401;Feldbergstraße;-
;;Feldstraße;
;Q1409424;Feudenheimer Grün;-
;Q1409424;Feudenheimer Straße;-
;Q250194;Feuerbachplatz;m
;Q250194;Feuerbachstraße;m
;Q145992;Fichtenweg;-
;Q102585;Fichtestraße;m
;Q160835;Finkenstraße;-
;;Fischerstraße;-
;Q45108;Flachsstraße;-
;Q242485;Flamländerstraße;+
;Q3798;Flensburger Ring;-
;Q157449;Fliederweg;-
;;Floßwörthstraße;-
;Q12024;Föhrenhof;-
;Q12024;Föhrenweg;-
;Q81306;Forbacher Weg;-
;Q680236;Forggenseestraße;-
;Q12024;Forlenstraße;-
;Q23024;Forster Straße;-
;Q71104;Frankenberger Weg;-
;Q43482;Frankenstraße;+
;Q6905;Frankenthaler Straße;-
;Q1794;Frankfurter Pfad;-
;Q90291;Frankstraße;m
;Q1446493;Franz-Conrad-Linck-Straße;m
;Q15450820;Franz-Gelb-Weg;m
;Q94892936;Franz-Gember-Anlage;m
;Q66543;Franz-Grashof-Straße;m
;Q1448942;Franz-Schnabel-Straße;m
;-;Franz-Sigel-Straße;m
;Q214667;Franz-Volhard-Straße;m
;"Q2316067;Q676555";Franziskusstraße;-
;Q121842;Franzosenkai;+
;Q121842;Franzosenweg;+
;Q1707024;Fratrelstraße;m
;Q43948;Fraunhoferstraße;m
;-;Fred-Joachim-Schoeps-Straße;m
;Q108664;Freherstraße;m
;Q14819;Freiberger Ring;-
;Q2833;Freiburger Straße;-
;;Freie Luft;-
;;Freier Weg;-
;Q799097;Freiheitsplatz;-
;Q539630;Freinsheimer Straße;-
;Q1647325;Freyaplatz;w
;Q1647325;Freyastraße;w
;Q72292;Fridtjof-Nansen-Weg;m
;Q516485;Friedberger Straße;-
;Q22984;Friedelsheimer Straße;-
;;Friedensplatz;-
;Q46083;Friedensstraße;-
;;Friedhofstraße;-
;-;Friedrich-Böttger-Straße;m
;Q77289293;Friedrich-Dürr-Straße;m
;Q2646;Friedrich-Ebert-Brücke;m
;Q2646;Friedrich-Ebert-Straße;m
;Q86159;Friedrich-Engelhorn-Straße;m
;Q60505;Friedrich-Karl-Straße;m
;Q72363;Friedrich-Koenig-Straße;m
;-;Friedrich-Traumann-Straße;m
;Q1462723;Friedrich-Walter-Straße;m
;Q1464220;Friedrichsfelder Eck;-
;Q1464220;Friedrichsfelder Weg;-
;Q57483;Friedrichsplatz;m
;Q57483;Friedrichsring;m
;Q57483;Friedrichstraße;m
;Q1875414;Friesenheimer Straße;-
;;Frischer Mut;-
;;Frischer Sinn;-
;-;Fritz-Huber-Straße;m
;Q1468124;Fritz-Salm-Straße;m
;Q60570;Frobeniusstraße;m
;;Frohe Zuversicht;-
;-;Fröhlichstraße;m
;;Fronäckerstraße;-
;;Frondgraben;
;;Fruchtbahnhofstraße;
;Q1312;Frühlingstraße;-
;Q8332;Fuchsfalle;-
;Q161066;Fuchsienweg;-
;;Füllenweg;-
;Q16064;Fürstenwalder Weg;-
;Q1483706;Fürther Straße;-
;Q2121848;G 1;
;Q2121848;G 2;
;Q2121848;G 3;
;Q2121848;G 4;
;Q2121848;G 5;
;Q2121848;G 6;
;Q2121848;G 7;
;Q62137;Gabelsbergerstraße;m
;Q1489831;Gabriel-Grupello-Weg;m
;Q504451;Gaggenauer Straße;-
;Q307;Galileistraße;m
;-;Gallenbergweg;+
;Q1589;Galvanistraße;m
;Q772978;Gambrinusstraße;m
;Q131766522;Garnisonstraße;-
;Q49007;Garnstraße;-
;;Gartenfeldstraße;
;;Gartenschauweg;
;;Gartenstraße;
;;Gärtnerstraße;-
;-;Gaswerkstraße;-
;Q6722;Gaußstraße;m
;Q209814;Gebweilerstraße;-
;Q14077843;Geheimrat-Haas-Platz;m
;Q77333;Geibelstraße;m
;Q123120;Geierstraße;-
;Q505495;Gengenbacher Straße;-
;Q1505143;Georg-Lechleiter-Platz;m
;-;George-Sullivan-Ring;m
;Q23;George-Washington-Straße;m
;Q3750;Geraer Ring;-
;Q157211;Geranienweg;-
;Q1510455;Gerd-Dehof-Platz;m
;Q61507;Gerhard-Marcks-Straße;m
;Q43523;Gerhart-Hauptmann-Straße;m
;Q428114;Germaniastraße;w
;Q1291267;Gernotweg;m
;Q625091;Gernsheimer Straße;-
;Q11577;Gerstenstraße;-
;Q139193997;Gert-Magnus-Platz;m
;Q71416;Gertrud-Bäumer-Straße;w
;Q94746406;Gertrud-Beinling-Weg;w
;Q111454;Gerwigstraße;m
;;Gewerbstraße;-
;Q3874;Gießenstraße;-
;Q882850;Gimmeldinger Straße;-
;Q156696;Ginsterweg;-
;Q678565;Glasstraße;-
;Q20071;Glauchauer Weg;-
;Q494617;Glücksburger Weg;-
;Q1576433;Glücksteinallee;m
;Q130759;Gluckstraße;m
;Q165519;Gneisenaustraße;m
;Q51432;Gnesener Straße;-
;Q126814;Goeggstraße;m
;Q5879;Goetheplatz;m
;Q5879;Goethestraße;m
;;Gondelplatz;-
;;Gondelstraße;-
;Q553267;Gönnheimer Weg;-
;;Gontardplatz;-
;;Gontardstraße;-
;Q69087;Gorch-Fock-Straße;m
;Q4077;Görlitzer Weg;-
;Q215730;Görresstraße;m
;Q1538440;Gorxheimer Straße;-
;Q3896;Goslarer Weg;-
;Q42193;Gotenstraße;+
;Q6986;Gothaer Weg;-
;;Gottfriedstraße;-
;Q57098;Gottlieb-Daimler-Straße;m
;;Grabenweg;
;;Gralsstraße;
;Q34836;Grant Circle;m
;-;Graßmannstraße;m
;;Grasweg;
;Q123511;Graudenzer Linie;-
;Q4098;Greifswalder Weg;-
;;Grenadierstraße;-
;Q15111809;Grenzhofer Weg;-
;;Grenzschneise;
;;Grenzweg;-
;Q94697026;Grete-Fleischmann-Straße;w
;Q98681;Grillenbergerstraße;m
;Q154438;Grillparzerstraße;m
;-;Grohbergstraße;+
;Q251689;Groß-Gerauer Straße;-
;;Großbranndweg;
;;Große Ausdauer;
;Q25239;Große Erlen;-
;;Große Holzgasse;-
;;Großer Weidstückerweg;-
;;Großfeldstraße;-
;;Großgehrenstraße;-
;;Grüner Winkel;
;Q154338;Grünewaldstraße;m
;Q1552377;Grüntenseeweg;-
;Q77214;Gryphiusweg;m
;Q491164;Gudrunweg;w
;Q537997;Gundelsheimer Straße;-
;"Q16573492;Q54997165";Guntherweg;m
;Q84844;Gustav-Seitz-Straße;m
;Q538615;Gutacher Ring;-
;;Gute Erde;-
;Q8958;Gutenbergstraße;m
;;Guter Fortschritt;
;;Güterhallenstraße;-
;Q2121848;H 1;
;Q2121848;H 2;
;Q2121848;H 3;
;Q2121848;H 4;
;Q2121848;H 5;
;Q2121848;H 6;
;Q2121848;H 7;
;Q837186;Haardtstraße;-
;Q137474876;Habichtplatz;-
;Q137474876;Habichtstraße;-
;Q29868;Haderslebener Straße;-
